,ItemID,name,description,colloq,plaintext,into,image,gold,tags,maps,stats,from,depth,inStore,effect,consumed,requiredAlly,stacks,hideFromAll,consumeOnFull,specialRecipe,requiredChampion
10,1033,Null-Magic Mantle,<mainText><stats><attention>25</attention> Magic Resist</stats><br><br></mainText>,;,Slightly increases Magic Resist,"['1057', '3140', '3193', '3050', '3001', '3155', '3211', '3105', '3111', '3190', '4632']","{'full': '1033.png', 'sprite': 'item0.png', 'group': 'item', 'x': 0, 'y': 48, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 315}",['SpellBlock'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatSpellBlockMod': 25},,,,,,,,,,,
11,1035,Emberknife,"<mainText><stats></stats><br><br><li><passive>Sear:</passive> Damaging Monsters burns them over time.<li><passive>Challenging Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Challenging Smite</attention> and increases its damage to monsters. Challenging Smite marks champions. During this time, you deal bonus true damage to them on hit and take reduced damage from them.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen mana when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><br><rules>Only attacks and abilities apply Challenging Smite's burn</rules></mainText>",,,,"{'full': '1035.png', 'sprite': 'item0.png', 'group': 'item', 'x': 48, 'y': 48, 'w': 48, 'h': 48}","{'base': 350, 'purchasable': False, 'total': 350, 'sell': 140}","['LifeSteal', 'SpellVamp', 'Jungle']","{'11': False, '12': False, '21': False, '22': False, '30': False}",{},,,False,"{'Effect1Amount': '60', 'Effect2Amount': '25', 'Effect3Amount': '5', 'Effect4Amount': '8'}",,,,,,,
12,1036,Long Sword,<mainText><stats><attention>10</attention> Attack Damage</stats><br><br></mainText>,;,Slightly increases Attack Damage,"['2015', '1053', '2019', '2021', '6670', '3133', '3004', '3035', '3044', '3051', '3155', '4003', '6690', '3077', '3123', '3134', '6699', '6671', '6692']","{'full': '1036.png', 'sprite': 'item0.png', 'group': 'item', 'x': 96, 'y': 48, 'w': 48, 'h': 48}","{'base': 350, 'purchasable': True, 'total': 350, 'sell': 245}","['Damage', 'Lane']","{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatPhysicalDamageMod': 10},,,,,,,,,,,
13,1037,Pickaxe,<mainText><stats><attention>25</attention> Attack Damage</stats><br><br></mainText>,;,Moderately increases Attack Damage,"['6333', '2020', '3031', '3153', '3053', '3032', '3039', '3072', '3124', '3181', '3139', '3161', '6029', '6035', '6673', '6692', '6695']","{'full': '1037.png', 'sprite': 'item0.png', 'group': 'item', 'x': 144, 'y': 48, 'w': 48, 'h': 48}","{'base': 875, 'purchasable': True, 'total': 875, 'sell': 613}",['Damage'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatPhysicalDamageMod': 25},,,,,,,,,,,
14,1038,B. F. Sword,<mainText><stats><attention>40</attention> Attack Damage</stats><br><br></mainText>,;bf,Greatly increases Attack Damage,"['3031', '3146', '3026', '3508', '3072', '4403', '6671', '6676']","{'full': '1038.png', 'sprite': 'item0.png', 'group': 'item', 'x': 192, 'y': 48, 'w': 48, 'h': 48}","{'base': 1300, 'purchasable': True, 'total': 1300, 'sell': 910}",['Damage'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatPhysicalDamageMod': 40},,,,,,,,,,,
15,1039,Hailblade,"<mainText><stats></stats><br><br><li><passive>Sear:</passive> Damaging Monsters burns them over time.<li><passive>Chilling Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Chilling Smite</attention> and increases its damage to monsters. When smiting champions Chilling Smite deals true damage and steals their Move Speed.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen mana when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><br></mainText>",;jungle;Jungle,Provides damage against Monsters and Mana Regen in the Jungle,,"{'full': '1039.png', 'sprite': 'item0.png', 'group': 'item', 'x': 240, 'y': 48, 'w': 48, 'h': 48}","{'base': 350, 'purchasable': False, 'total': 350, 'sell': 140}","['LifeSteal', 'SpellVamp', 'Jungle']","{'11': False, '12': False, '21': False, '22': False, '30': False}",{},,,False,"{'Effect1Amount': '60', 'Effect2Amount': '25', 'Effect3Amount': '5', 'Effect4Amount': '8'}",,,,,,,
16,1040,Obsidian Edge,"<mainText><stats></stats><br><br><li><passive>Sear:</passive> Damaging Monsters burns them over time.<li><passive>Auto Path:</passive> Smiting 5 times consumes this item upgrade your Attack-Smite, increasing its damage to monsters.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen mana when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules></mainText>",,,,"{'full': '1040.png', 'sprite': 'item0.png', 'group': 'item', 'x': 288, 'y': 48, 'w': 48, 'h': 48}","{'base': 350, 'purchasable': True, 'total': 350, 'sell': 140}","['LifeSteal', 'SpellVamp', 'Jungle']","{'11': True, '12': False, '21': False, '22': False, '30': False}",{},,,,"{'Effect1Amount': '60', 'Effect2Amount': '25', 'Effect3Amount': '5', 'Effect4Amount': '8'}",,,,,,,
17,1042,Dagger,<mainText><stats><attention>10%</attention> Attack Speed</stats><br><br></mainText>,;,Slightly increases Attack Speed,"['1043', '3091', '3086', '3131', '3006', '3046', '3051', '3144', '6631', '6675', '6677']","{'full': '1042.png', 'sprite': 'item0.png', 'group': 'item', 'x': 336, 'y': 48, 'w': 48, 'h': 48}","{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['AttackSpeed'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'PercentAttackSpeedMod': 0.1},,,,,,,,,,,
18,1043,Recurve Bow,<mainText><stats><attention>15%</attention> Attack Speed</stats><br><br>Attacks apply bonus physical damage On-Hit.</mainText>,;,Greatly increases Attack Speed,"['3115', '6672', '3091', '3153', '3124', '3302']","{'full': '1043.png', 'sprite': 'item0.png', 'group': 'item', 'x': 384, 'y': 48, 'w': 48, 'h': 48}","{'base': 400, 'purchasable': True, 'total': 700, 'sell': 490}","['AttackSpeed', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': False}",{'PercentAttackSpeedMod': 0.15},['1042'],2.0,,,,,,,,,
19,1052,Amplifying Tome,<mainText><stats><attention>20</attention> Ability Power</stats><br><br></mainText>,;amptome,Slightly increases Ability Power,"['2420', '3145', '4642', '4637', '3916', '6656', '3113', '3147', '3802', '2508', '3108', '3116', '3124', '4635', '4630', '4632', '4644']","{'full': '1052.png', 'sprite': 'item0.png', 'group': 'item', 'x': 432, 'y': 48, 'w': 48, 'h': 48}","{'base': 400, 'purchasable': True, 'total': 400, 'sell': 280}",['SpellDamage'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatMagicDamageMod': 20},,,,,,,,,,,
20,1053,Vampiric Scepter,<mainText><stats><attention>15</attention> Attack Damage<br><attention>7%</attention> Life Steal</stats><br><br></mainText>,;,Basic attacks restore Health,"['3153', '3072', '3074', '3139', '4403']","{'full': '1053.png', 'sprite': 'item0.png', 'group': 'item', 'x': 0, 'y': 96, 'w': 48, 'h': 48}","{'base': 550, 'purchasable': True, 'total': 900, 'sell': 630}","['Damage', 'LifeSteal']","{'11': True, '12': True, '21': True, '22': False, '30': False}","{'FlatPhysicalDamageMod': 15, 'PercentLifeStealMod': 0.07}",['1036'],2.0,,,,,,,,,
21,1054,Doran's Shield,"<mainText><stats><attention>110</attention> Health</stats><br><br><passive>Enduring Focus</passive><li>Attacks deal an additional <physicalDamage>5 physical damage</physicalDamage> to minions.<li>Regenerate <healing>4 Health</healing> every 5 seconds. After taking damage from a champion, large or epic jungle monster, restores up to <healing>45 Health</healing> over 8 seconds. Restoration increases when you are low Health.</mainText>",;dshield,Good defensive starting item,,"{'full': '1054.png', 'sprite': 'item0.png', 'group': 'item', 'x': 48, 'y': 96, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}","['Health', 'HealthRegen', 'Lane']","{'11': True, '12': True, '21': True, '22': False, '30': False}","{'FlatHPPoolMod': 110, 'FlatHPRegenMod': 0.8}",,,,"{'Effect1Amount': '8', 'Effect2Amount': '5', 'Effect3Amount': '45', 'Effect4Amount': '0.66'}",,,,,,,
22,1055,Doran's Blade,<mainText><stats><attention>10</attention> Attack Damage<br><attention>100</attention> Health<br><attention>3.5%</attention> Life Steal</stats><br><br></mainText>,;dblade,Good starting item for attackers,,"{'full': '1055.png', 'sprite': 'item0.png', 'group': 'item', 'x': 96, 'y': 96, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}","['Health', 'Damage', 'SpellVamp', 'Lane']","{'11': True, '12': True, '21': True, '22': False, '30': False}","{'FlatHPPoolMod': 100, 'FlatPhysicalDamageMod': 10, 'PercentLifeStealMod': 0.035}",,,,,,,,,,,
23,1056,Doran's Ring,"<mainText><stats><attention>18</attention> Ability Power<br><attention>90</attention> Health</stats><br><br><passive>Restoration</passive><li>Restore Mana every second. If you can't gain Mana, regenerate Health instead.<li>Attacks deal additional damage to minions.</mainText>",;dring,Good starting item for casters,,"{'full': '1056.png', 'sprite': 'item0.png', 'group': 'item', 'x': 144, 'y': 96, 'w': 48, 'h': 48}","{'base': 400, 'purchasable': True, 'total': 400, 'sell': 160}","['Health', 'Lane', 'ManaRegen', 'SpellDamage']","{'11': True, '12': True, '21': True, '22': False, '30': False}","{'FlatHPPoolMod': 90, 'FlatMagicDamageMod': 18}",,,,,,,,,,,
24,1057,Negatron Cloak,<mainText><stats><attention>50</attention> Magic Resist</stats><br><br></mainText>,;,Moderately increases Magic Resist,"['3091', '2504', '6665', '4401', '8020']","{'full': '1057.png', 'sprite': 'item0.png', 'group': 'item', 'x': 192, 'y': 96, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 900, 'sell': 630}",['SpellBlock'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatSpellBlockMod': 50},['1033'],2.0,,,,,,,,,
25,1058,Needlessly Large Rod,<mainText><stats><attention>70</attention> Ability Power</stats><br><br></mainText>,;nlr,Greatly increases Ability Power,"['3157', '4645', '3146', '3102', '3089', '3128', '4403']","{'full': '1058.png', 'sprite': 'item0.png', 'group': 'item', 'x': 240, 'y': 96, 'w': 48, 'h': 48}","{'base': 1250, 'purchasable': True, 'total': 1250, 'sell': 875}",['SpellDamage'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatMagicDamageMod': 70},,,,,,,,,,,
26,1082,Dark Seal,"<mainText><stats><attention>15</attention> Ability Power<br><attention>50</attention> Health</stats><br><br><passive>Glory</passive><br>Kills and Assists grant stacks, gain Ability Power per stack. Lose some stacks on death.</mainText>",;Noxian,Provides Ability Power and Mana.  Increases in power as you kill enemies.,['3041'],"{'full': '1082.png', 'sprite': 'item0.png', 'group': 'item', 'x': 288, 'y': 96, 'w': 48, 'h': 48}","{'base': 350, 'purchasable': True, 'total': 350, 'sell': 140}","['Health', 'SpellDamage', 'Lane']","{'11': True, '12': False, '21': False, '22': False, '30': False}","{'FlatHPPoolMod': 50, 'FlatMagicDamageMod': 15}",,,,,,,,,,,
27,1083,Cull,"<mainText><stats><attention>7</attention> Attack Damage</stats><br><br><passive>Reap</passive><li>Restore <healing>3 Health</healing> per hit.<li>Killing a lane minion grants <goldGain>1</goldGain> additional gold, up to 100. Killing 100 lane minions grants an additional <goldGain>350</goldGain> bonus gold.<br></mainText>",;dblade,Provides damage and Life Steal on hit - Killing minions grant bonus Gold,,"{'full': '1083.png', 'sprite': 'item0.png', 'group': 'item', 'x': 336, 'y': 96, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}","['Damage', 'OnHit', 'Lane']","{'11': True, '12': False, '21': False, '22': False, '30': False}",{'FlatPhysicalDamageMod': 7},,,,,,,,,,,
28,1101,Scorchclaw Pup,<mainText><stats></stats><br><br><li><passive>Jungle Companions:</passive> Summon an <font color='#DD2E2E'>Scorchclaw</font> to assist you in the jungle.<li><passive>Scorchclaw's Slash:</passive> When fully grown your companion periodically imbues your next damaging effect to <status>Slow</status> and <passive>damage</passive> enemy champions.</mainText>,,,,"{'full': '1101.png', 'sprite': 'item0.png', 'group': 'item', 'x': 384, 'y': 96, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}",['Jungle'],"{'11': True, '12': False, '21': True, '22': False, '30': False}",{},,,,,,,,,,,
29,1102,Gustwalker Hatchling,<mainText><stats></stats><br><br><li><passive>Jungle Companions:</passive> Summon a <font color='#38A8E8'>Gustwalker</font> to assist you while in the jungle.<li><passive>Gustwalker's Gait:</passive> When fully grown your companion grants <speed>Move Speed</speed> after entering brush or killing monsters.</mainText>,,,,"{'full': '1102.png', 'sprite': 'item0.png', 'group': 'item', 'x': 432, 'y': 96, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}",['Jungle'],"{'11': True, '12': False, '21': True, '22': False, '30': False}",{},,,,"{'Effect1Amount': '60', 'Effect2Amount': '25', 'Effect3Amount': '5', 'Effect4Amount': '8'}",,,,,,,
30,1103,Mosstomper Seedling,<mainText><stats></stats><br><br><li><passive>Jungle Companions:</passive> Summon a <font color='#1CA935'>Mosstomper</font> to assist you while in the jungle. <li><passive>Mosstomper's Courage:</passive> When fully grown your companion grants a <shield>permanent shield</shield> that regenerates either after killing monsters or out of combat. While the shield holds gain 0% Tenacity and Slow Resist.</mainText>,,,,"{'full': '1103.png', 'sprite': 'item0.png', 'group': 'item', 'x': 0, 'y': 144, 'w': 48, 'h': 48}","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 180}",['Jungle'],"{'11': True, '12': False, '21': True, '22': False, '30': False}",{},,,,"{'Effect1Amount': '60', 'Effect2Amount': '25', 'Effect3Amount': '5', 'Effect4Amount': '8'}",,,,,,,
31,1104,Eye of the Herald,"<mainText><stats></stats><br><br><br><br><active>Active - Consume:</active> Crush the Eye of the Herald, begining the ritual to summon Rift Herald. You may click the Rift Herald after it has summoned to control how it charges. This control effect can be done once when it is summoned, and once each time a nearby enemy structure dies.</mainText>",,,,"{'full': '1104.png', 'sprite': 'item0.png', 'group': 'item', 'x': 48, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Trinket', 'Active']","{'11': False, '12': False, '21': False, '22': False, '30': False}",{},,,False,"{'Effect1Amount': '240', 'Effect2Amount': '1', 'Effect3Amount': '20', 'Effect4Amount': '180'}",True,,,,,,
32,126697,Hubris<br>,<mainText><stats><attention>60</attention> Attack Damage<br><attention>18</attention> Lethality<br><attention>15</attention> Ability Haste</stats><br><br><passive>Eminence</passive><br>Gain temporary AD based on champion kills on kill.</mainText>,,,['127008'],"{'full': '126697.png', 'sprite': 'item0.png', 'group': 'item', 'x': 96, 'y': 144, 'w': 48, 'h': 48}","{'base': 900, 'purchasable': True, 'total': 3000, 'sell': 2100}","['Damage', 'Active', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste']","{'11': False, '12': True, '21': False, '22': False, '30': False}",{'FlatPhysicalDamageMod': 60},"['3134', '3133']",3.0,,,,,,,,,
33,127008,Ataraxia,"<mainText><stats><ornnBonus>75</ornnBonus> Attack Damage<br><ornnBonus>27</ornnBonus> Lethality<br><ornnBonus>20</ornnBonus> Ability Haste</stats><br><br><passive>Eminence</passive><br>When a champion that you have damaged dies, gain Attack Damage.<br><br><passive>Ego</passive><br>Killing champions creates a statue of yourself, if you already have a statue it upgrades.</mainText>",,,,"{'full': '127008.png', 'sprite': 'item0.png', 'group': 'item', 'x': 144, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': True, 'total': 3000, 'sell': 2100}","['Damage', 'Active', 'CooldownReduction', 'ArmorPenetration', 'AbilityHaste']","{'11': False, '12': True, '21': False, '22': False, '30': False}",{'FlatPhysicalDamageMod': 75},['126697'],4.0,,,,Ornn,,,,,
34,1500,Penetrating Bullets,,,,,"{'full': '1500.png', 'sprite': 'item0.png', 'group': 'item', 'x': 192, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['HealthRegen', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,"{'Effect1Amount': '0.3', 'Effect2Amount': '0.4', 'Effect3Amount': '1.2', 'Effect4Amount': '3'}",,,,,,,
35,1501,Fortification,,,,,"{'full': '1501.png', 'sprite': 'item0.png', 'group': 'item', 'x': 240, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}",['OnHit'],"{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,"{'Effect1Amount': '0.75', 'Effect2Amount': '5', 'Effect3Amount': '0.35'}",,,,,,,
36,1502,Reinforced Armor,<mainText><stats></stats><br><br><mainText><unique>Reinforced:</unique> Reduces incoming damage by 80% and becomes immune to True Damage when no enemy minions are nearby.</mainText></mainText>,,,,"{'full': '1502.png', 'sprite': 'item0.png', 'group': 'item', 'x': 288, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,{'Effect1Amount': '80'},,,,,,,
37,1503,Warden's Eye,,,,,"{'full': '1503.png', 'sprite': 'item0.png', 'group': 'item', 'x': 336, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['HealthRegen', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,{'Effect1Amount': '1000'},,,,,,,
38,1504,Vanguard,,,,,"{'full': '1504.png', 'sprite': 'item0.png', 'group': 'item', 'x': 384, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': False, '12': False, '21': False, '22': False, '30': False}",{},,,False,"{'Effect1Amount': '30', 'Effect2Amount': '30', 'Effect3Amount': '30', 'Effect4Amount': '300'}",,,,,,,
39,1506,Reinforced Armor,"<mainText><stats></stats><br><br><mainText><unique>Reinforced:</unique> Reduces incoming damage by 66% and becomes immune to True Damage when no enemy minions are nearby.<br><unique>Regeneration: </unique>Base turrets have health regeneration, but cannot regenerate past their current segment. Base turrets are segmented at 33%, 66% and 100% health.</mainText></mainText>",,,,"{'full': '1506.png', 'sprite': 'item0.png', 'group': 'item', 'x': 432, 'y': 144, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,"{'Effect1Amount': '66', 'Effect2Amount': '66'}",,,,,,,
40,1507,Overcharged,,,,,"{'full': '1507.png', 'sprite': 'item0.png', 'group': 'item', 'x': 0, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,"{'Effect1Amount': '75', 'Effect2Amount': '75'}",,,,,,,
41,1508,Anti-tower Socks,,,,,"{'full': '1508.png', 'sprite': 'item0.png', 'group': 'item', 'x': 48, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,,,,,,,,
42,1509,Gusto,,,,,"{'full': '1509.png', 'sprite': 'item0.png', 'group': 'item', 'x': 96, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,,,,,,,,
43,1510,Phreakish Gusto,,,,,"{'full': '1510.png', 'sprite': 'item0.png', 'group': 'item', 'x': 144, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,,,,,,,,
44,1511,Super Mech Armor,,,,,"{'full': '1511.png', 'sprite': 'item0.png', 'group': 'item', 'x': 192, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,,,,,,,,
45,1512,Super Mech Power Field,,,,,"{'full': '1512.png', 'sprite': 'item0.png', 'group': 'item', 'x': 240, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['Armor', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,,,,,,,,
46,1515,Turret Plating,,,,,"{'full': '1515.png', 'sprite': 'item0.png', 'group': 'item', 'x': 288, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}",['Armor'],"{'11': True, '12': True, '21': True, '22': False, '30': True}",{},,,False,"{'Effect1Amount': '40', 'Effect2Amount': '125', 'Effect3Amount': '20', 'Effect4Amount': '45', 'Effect5Amount': '0.17'}",,,,,,,
47,1516,Structure Bounty,,,,,"{'full': '1516.png', 'sprite': 'item0.png', 'group': 'item', 'x': 336, 'y': 192, 'w': 48, 'h': 48}","{'base': 0, 'purchasable': False, 'total': 0, 'sell': 0}","['HealthRegen', 'ManaRegen', 'OnHit']","{'11': True, '12': True, '21': True, '22': False, '30': False}",{},,,False,"{'Effect1Amount': '0.3', 'Effect2Amount': '0.4', 'Effect3Amount': '1.2', 'Effect4Amount': '3'}",,,,,,,
